plot,sample_date,plant_part,mass_g,Exclude,row_length_m,Block,NxWater,Water_Treatment,Nitrogen_Treatment,block_water_nitrogen,notes
1,7/21/2021,stems,347,No,0.8128,1,1_4,1,4,114,stalks
1,9/23/2021,grain_mc_0,806.976,No,0.8128,1,1_4,1,4,114,NA
1,7/21/2021,leaves,336,No,0.8128,1,1_4,1,4,114,leaves
1,9/23/2021,Leaves,162,No,0.8128,1,1_4,1,4,114,
1,9/23/2021,grain_mc_15_5,955.0011834,No,0.8128,1,1_4,1,4,114,NA
1,6/30/2021,shoots,113.01,No,0.8128,1,1_4,1,4,114,NA
1,9/23/2021,stems,319.7226148,No,0.8128,1,1_4,1,4,114,
1,8/4/2021,leaves,283,No,0.8128,1,1_4,1,4,114,NA
1,9/23/2021,cobs,198,No,0.8128,1,1_4,1,4,114,NA
1,6/9/2021,shoots,4.542,No,0.8128,1,1_4,1,4,114,
1,8/4/2021,stems,965.3283158,No,0.8128,1,1_4,1,4,114,
2,9/23/2021,grain_mc_15_5,687.8591716,No,0.9144,1,1_1,1,1,111,NA
2,7/21/2021,leaves,275,No,0.9144,1,1_1,1,1,111,leaves
2,9/23/2021,cobs,154,No,0.9144,1,1_1,1,1,111,NA
2,9/23/2021,grain_mc_0,581.241,No,0.9144,1,1_1,1,1,111,NA
2,7/21/2021,stems,318,No,0.9144,1,1_1,1,1,111,stalks
2,6/30/2021,shoots,102.29,No,0.9144,1,1_1,1,1,111,NA
2,8/4/2021,leaves,219,No,0.9144,1,1_1,1,1,111,NA
2,9/23/2021,Leaves,135,No,0.9144,1,1_1,1,1,111,
2,6/9/2021,shoots,3.558,No,0.9144,1,1_1,1,1,111,
2,9/23/2021,stems,246.9270713,No,0.9144,1,1_1,1,1,111,
2,8/4/2021,stems,593.595753,No,0.9144,1,1_1,1,1,111,A digit appears to have been left out of subsample dry weight (e.g. 10 vs 100). Ground remants around 52g. Assuming one digit over
3,9/23/2021,Leaves,158,No,0.8128,1,1_5,1,5,115,
3,7/21/2021,stems,268,No,0.8128,1,1_5,1,5,115,stalks
3,9/23/2021,cobs,211,No,0.8128,1,1_5,1,5,115,NA
3,8/4/2021,leaves,245,No,0.8128,1,1_5,1,5,115,NA
3,9/23/2021,grain_mc_0,846.204,No,0.8128,1,1_5,1,5,115,NA
3,6/9/2021,shoots,3.446,No,0.8128,1,1_5,1,5,115,
3,6/30/2021,shoots,89.05,No,0.8128,1,1_5,1,5,115,NA
3,9/23/2021,stems,336.5720471,No,0.8128,1,1_5,1,5,115,
3,8/4/2021,stems,806.0755365,No,0.8128,1,1_5,1,5,115,
3,9/23/2021,grain_mc_15_5,1001.424852,No,0.8128,1,1_5,1,5,115,NA
3,7/21/2021,leaves,318,No,0.8128,1,1_5,1,5,115,leaves
